ID,Name,Description,Contributor,Citation,Examples_Count
glossa4962,Preliminary remarks on the nominal phrase in Cape Verdean: The semantics of bare nouns cross-linguistically,,"Pires de Oliveira, Roberta and Martins, Jair","Oliveira, Roberta Pires de & Jair Martins. 2017. Preliminary remarks on the nominal phrase in Cape Verdean: The semantics of bare nouns cross-linguistically. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.157. Open Library of Humanities.",39
glossa4963,An fMRI study on the processing of long-distance wh-movement in a second language,,"Pliatsikas, Christos and Johnstone, Tom and Marinis, Theodoros","Pliatsikas, Christos, Tom Johnstone & Theodoros Marinis. 2017. An fMRI study on the processing of long-distance wh-movement in a second language. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.95. Open Library of Humanities.",0
glossa4964,Co-speech gesture projection: Evidence from truth-value judgment and picture selection tasks,,"Tieu, Lyn and Pasternak, Robert and Schlenker, Philippe and Chemla, Emmanuel","Tieu, Lyn, Robert Pasternak, Philippe Schlenker & Emmanuel Chemla. 2017. Co-speech gesture projection: Evidence from truth-value judgment and picture selection tasks. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.334. Open Library of Humanities.",0
glossa4965,Gender exponence and apparent polarity in a class of Omani Mehri plurals,,"Fathi, Radwa","Fathi, Radwa. 2017. Gender exponence and apparent polarity in a class of Omani Mehri plurals. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.249. Open Library of Humanities.",5
glossa4966,Resolving (DAT = ACC) ≠ GEN,,"Starke, Michal","Starke, Michal. 2017. Resolving (DAT = ACC) ≠ GEN. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.408. Open Library of Humanities.",2
glossa4967,The primitives of the lexicon: Insights from aspect in idioms,,"Leivada, Evelina","Leivada, Evelina. 2017. The primitives of the lexicon: Insights from aspect in idioms. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.145. Open Library of Humanities.",37
glossa4968,Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English,,"Childs, Claire","Childs, Claire. 2017. Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.287. Open Library of Humanities.",0
glossa4969,In support of representational economy: Agreement in heritage Spanish,,"Scontras, Gregory and Polinsky, Maria and Fuchs, Zuzanna","Scontras, Gregory, Maria Polinsky & Zuzanna Fuchs. 2018. In support of representational economy: Agreement in heritage Spanish. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.164. Open Library of Humanities.",8
glossa4970,"History of focus-concord constructions and focus-associated particles in Sinhala, with comparison to Dravidian and Japanese",,"Slade, Benjamin","Slade, Benjamin. 2018. History of focus-concord constructions and focus-associated particles in Sinhala, with comparison to Dravidian and Japanese. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.241. Open Library of Humanities.",85
glossa4971,"(Dis)agreement, polarity, and focus: Answering negative polar questions in Italian",,"Servidio, Emilio and Bocci, Giuliano and Bianchi, Valentina","Servidio, Emilio, Giuliano Bocci & Valentina Bianchi. 2018. (Dis)agreement, polarity, and focus: Answering negative polar questions in Italian. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.360. Open Library of Humanities.",10
glossa4972,Redrawing the margins of language: Lessons from research on ideophones,,"Dingemanse, Mark","Dingemanse, Mark. 2018. Redrawing the margins of language: Lessons from research on ideophones. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.444. Open Library of Humanities.",0
glossa4973,"Intonation, yes and no",,"Goodhue, Daniel and Wagner, Michael","Goodhue, Daniel & Michael Wagner. 2018. Intonation, yes and no. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.210. Open Library of Humanities.",0
glossa4974,Constraints on Argument Linearization in German,,"Ellsiepen, Emilia and Bader, Markus","Ellsiepen, Emilia & Markus Bader. 2018. Constraints on Argument Linearization in German. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.258. Open Library of Humanities.",22
glossa4975,Subject Clitics: New Evidence from Old Nubian,,"van Gerven Oei, Vincent W. J.","Gerven Oei, Vincent W. J. van. 2018. Subject Clitics: New Evidence from Old Nubian. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.503. Open Library of Humanities.",43
glossa4976,*ABA in stem-allomorphy and the emptiness of the nominative,,"McFadden, Thomas","McFadden, Thomas. 2018. *ABA in stem-allomorphy and the emptiness of the nominative. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.373. Open Library of Humanities.",4
glossa4977,Sinhala focus concord constructions from a discourse-syntactic perspective,,"Kishimoto, Hideki","Kishimoto, Hideki. 2018. Sinhala focus concord constructions from a discourse-syntactic perspective. Glossa: a journal of general linguistics 3(1). doi: 10.5334/gjgl.260. Open Library of Humanities.",63
